名称,描述,作者/出版社/价格,评分,评分人数
浪潮之巅,"近一百多年来，总有一些公司很幸运地、有意识或无意识地站在技术革命的浪尖之上。在这十几年间，它们代表着科技的浪潮，直到下一波浪潮的来临。
从一百年前算起，AT... ",            吴军 / 电子工业出版社 / 2011-8 / 55.00元      ,9.1,        (23010人评价)    
史蒂夫·乔布斯传,这本乔布斯唯一授权的官方传记，在2011年上半年由美国出版商西蒙舒斯特对外发布出版消息以来，备受全球媒体和业界瞩目，这本书的全球出版日期最终确定为2011年... ,            [美] 沃尔特·艾萨克森 / 管延圻、魏群、余倩、赵萌萌、汤崧 / 中信出版社 / 2011-10-24 / 68.00元      ,8.7,        (39845人评价)    
腾讯传,"腾讯官方唯一授权的权威传记
著名财经作家吴晓波倾力之作
当市值最高的中国互联网公司，遇上中国财经界最冷静的一双眼睛
读懂腾讯，读懂中国互联网
.
内容简介
... ",            吴晓波 / 浙江大学出版社 / 2017-1-1 / 58.00元      ,7.8,        (12212人评价)    
从0到1,"图书简介：
http://v.youku.com/v_show/id_XOTA0NjcyMzE2.html?wm=3333_2001
硅谷创投教父、PayP... ",            彼得·蒂尔、布莱克·马斯特斯 / 高玉芳 / 中信出版股份有限公司 / 2015-1-1 / CNY 45.00      ,7.6,        (21976人评价)    
增长黑客,"脸谱网如何从默默无闻到坐拥二十几亿用户？
爱彼迎、优步何以在短短时间估值超过百亿美元？
领英怎样跨步成为全球领先的职业社交平台?
这些初创公司实现爆发式成长... ",            Sean Ellis / 张溪梦 / 中信出版集团股份有限公司 / 2017-11-1 / CNY 59.00      ,8.4,        (1615人评价)    
失控,"《失控》，全名为《失控：机器、社会与经济的新生物学》（Out of Control: The New Biology of Machines, Social... ",            [美] 凯文·凯利 / 东西文库 / 新星出版社 / 2010-12 / 88.00元      ,8.7,        (14352人评价)    
硅谷增长黑客实战笔记,增长黑客这个词源于硅谷，简单说，这是一群以数据驱动营销、以迭代验证策略，通过技术手段实现爆发式增长的新型人才。近年来，互联网公司意识到这一角色可以发挥四两拨... ,            曲卉 / 机械工业出版社 / 2018-4-10 / 65.00元      ,9.1,        (778人评价)    
流量池,"移动互联网时代，信息日益冗余，新闻速朽；
整体流量增长速度放缓，而竞争者数量高速增加；
流量呈现变少、变贵、欺诈频繁的现状；
品效合一的营销策略成为共识，而... ",            杨飞 / 中信出版集团 / 2018-4 / 68.00      ,7.6,        (2652人评价)    
黑客与画家,本书是硅谷创业之父Paul Graham 的文集，主要介绍黑客即优秀程序员的爱好和动机，讨论黑客成长、黑客对世界的贡献以及编程语言和黑客工作方法等所有对计算... ,            [美] Paul Graham / 阮一峰 / 人民邮电出版社 / 2011-4 / 49.00元      ,8.7,        (16849人评价)    
运营之光,"在互联网行业内，“运营”这个职能发展到一定阶段后，往往更需要有成熟的知识体系和工作方法来给予行业从业者们以指引。
《运营之光：我的互联网运营方法论与自白》尤... ",            黄有璨 / 电子工业出版社 / 2016-9-1 / 59.00元      ,8.0,        (2982人评价)    
幕后产品,网易云音乐在激烈的竞争中实现了红海突围，获得了很好的口碑，实现了用户量行业前三，这一切离不开背后的核心人物王诗沐。在《幕后产品：打造突破式产品思维》一书中作... ,            王诗沐 / 电子工业出版社 / 2019-4 / 69      ,8.5,        (588人评价)    
启示录,为什么市场上那么多软件产品无人问津，成功的产品凤毛麟角？怎样发掘有价值的产品？拿什么说服开发团队接受你的产品设计？如何将敏捷方法融入产品开发？过去二十多年，... ,            [美] Marty Cagan / 七印部落 / 华中科技大学出版社 / 2011-5 / 36.00元      ,8.5,        (6101人评价)    
重新定义公司,"谷歌高管手绘风漫画视频：
http://v.youku.com/v_show/id_XMTMxMzQ3NjMyMA==.html?from=y1.7-1.2... ",            [美]埃里克·施密特 / 靳婷婷、陈序、何晔 / 中信出版社 / 2015-8 / 49.00      ,8.2,        (5727人评价)    
智能商业,"《智能商业》由马云作序推荐。《智能商业》是阿里巴巴集团前总参谋长曾鸣，对互联网时代的重要趋势做出革命性解读的作品，披露了其对于未来商业模式的思考和判断。
2... ",            曾鸣 / 中信出版集团 / 2018-11 / 68.00      ,8.3,        (1300人评价)    
浪潮之巅（第四版）（上下册）,"这不只是一部科技产业发展历史集……
更是在这个智能时代，一部IT人非读不可，而非IT人也应该阅读的作品。
一个企业的发展与崛起，绝非只是空有领导强人即可达成... ",            吴军 / 人民邮电出版社 / 2019-6 / 139.00元      ,9.6,        (81人评价)    
大数据时代,《大数据时代》是国外大数据研究的先河之作，本书作者维克托•迈尔•舍恩伯格被誉为“大数据商业应用第一人”，拥有在哈佛大学、牛津大学、耶鲁大学和新加坡国立大学等... ,            [英] 维克托•迈尔•舍恩伯格（Viktor Mayer-Schönberger） / 周涛 / 浙江人民出版社 / 2012-12 / 49.90元      ,7.5,        (15551人评价)    
智能时代,大数据和机器智能的出现，对我们的技术发展、商业和社会都会产生重大的影响。作者吴军在《智能时代：大数据与智能革命重新定义未来》中指出，首先，我们在过去认为非常... ,            吴军 / 中信出版集团 / 2016-8 / 68.00      ,8.4,        (5318人评价)    
上瘾,"——为什么我们会习惯性地点开某个App？
——这种使用习惯到底是如何养成的？
——为什么有些产品能让我们戒不掉，而其他的产品却不行？
——是否有什么秘诀能让... ",            [美] 尼尔·埃亚尔、[美] 瑞安·胡佛 / 钟莉婷、杨晓红 / 中信出版集团 / 2017-5 / 49.00元      ,7.5,        (2174人评价)    
决胜B端——产品经理升级之路,《决胜B端——产品经理升级之路》试图提炼了互联网B端产品设计和管理的通用思路和方法，本书一共分为4篇。“概述篇”描述互联网行业的盈利模式及发展趋势，让读者对... ,            杨堃 / 电子工业出版社 / 2019-6 / 69.00元      ,8.4,        (167人评价)    
运营之光 2.0,"在互联网行业内，“运营”这个职能发展到一定阶段后，往往更需要有成熟的知识体系和工作方法来给予行业从业者以指引。
《运营之光：我的互联网运营方法论与自白 2.... ",            黄有璨 / 电子工业出版社 / 2017-4 / 99      ,8.1,        (1149人评价)    
参与感,"◆雷军亲笔作序，小米联合创始人黎万强著。
◆揭开小米4年600亿奇迹背后的理念、方法和案例。
◆了解小米，必读本书！
◆迄今为止关于小米最权威、最透彻、最全... ",            黎万强 / 中信出版社 / 2014-8 / 56.00元      ,7.5,        (8726人评价)    
必然,凯文·凯利对于经济和社会发展的趋势有着深刻的见解。20年前，他的《失控》一书，便已预见了当下几乎所有的互联网经济热点概念，如：物联网、云计算、虚拟现实、网络... ,            [美] 凯文·凯利 / 周峰、董理、金阳 / 译言·东西文库／电子工业出版社 / 2016-1 / 58.00元      ,8.4,        (4749人评价)    
游戏改变世界,◆《游戏改变世界》是著名未来学家、TED大会新锐演讲者简•麦戈尼格尔探索互联时代重要趋势的最新力作。在书中，作者指出：游戏可以弥补现实世界的不足和缺陷，游戏... ,            [美] 简•麦戈尼格尔（Jane McGonigal） / 闾佳 / 浙江人民出版社 / 2012-9 / 59.90元      ,8.0,        (4109人评价)    
互联网四大,"《互联网四大》是一本了解四大科技巨头企业亚马逊、苹果、脸书和谷歌商业模式和预测未来机会的经管书。
对于亚马逊、苹果、脸书和谷歌这四大互联网公司，它们为什么如... ",            ［美］Scott·Galloway（斯科特·加洛韦) / 郝美丽 / 湖南文艺出版社 / 2019-6-30 / 58.00      ,7.7,        (60人评价)    
浪潮之巅（第三版）（上下册）,一个企业的发展与崛起，绝非只是空有领导强人即可达成。任何的决策、同期的商业环境，都在都影响着企业的兴衰。《浪潮之巅》不只是一本历史书，除了讲述科技顶尖企业的... ,            吴军 / 人民邮电出版社 / 2016-5 / 99.00元      ,9.3,        (1229人评价)    
精益创业,《精益创业:新创企业的成长思维》内容简介：我们正处在一个空前的全球创业兴盛时代，但无数创业公司都黯然收场，以失败告终。精益创业代表了一种不断形成创新的新方法... ,            [美] 埃里克·莱斯 / 吴彤 / 中信出版社 / 2012-8 / 49.00元      ,8.4,        (4396人评价)    
人人都是产品经理,这是写给“-1到3岁的产品经理”的书，适合刚入门的产品经理、产品规划师、需求分析师，以及对做产品感兴趣的学生，用户体验、市场运营、技术部门的朋友们，特别是互... ,            苏杰 / 电子工业出版社 / 2010年4月 / 45.00元      ,7.6,        (7701人评价)    
增长黑客,“增长黑客”这一概念近年来兴起于美国互联网创业圈，最早是由互联网创业者Sean Ellis提出。增长黑客是介于技术和市场之间的新型团队角色，主要依靠技术和数... ,            范冰 / 电子工业出版社 / 2015-7-1 / CNY 59.00      ,7.7,        (3394人评价)    
计算广告,计算广告是一项新兴的研究课题，它涉及大规模搜索和文本分析、信息获取、统计模型、机器学习、分类、优化以及微观经济学等诸多领域的知识。本书从实践出发，系统地介绍... ,            刘鹏、王超 / 人民邮电出版社 / 2015-9-1 / 69.00元      ,8.6,        (877人评价)    
